,Time,Text,Sentiment
139,2019-01-12 23:59:40+00:00,jivermattson hallmarkchannel cindy busby ryanpaevey yball frances fisher linievans realtammygillis teriwilsonauthr barbarabrauner just popped wonderful movie my amazon shopping cart pre order,"[52.508313270490426, 57.66812606882628, -11.29736609627102]"
140,2019-01-12 23:59:40+00:00,i received message supposedly amazon offering free gift card then i supposed buy something. after i filled a long ass survey. so much the gift card free. what a sham.,"[43.55123301933701, 58.20628855778675, -8.911703249762027]"
141,2019-01-12 23:59:28+00:00,amazon y’all really should’ve let usps die they about to. i paid day shipping these ppl the post days haven’t delivered,"[44.08812185312383, 10.970040508625175, -11.46697941339282]"
142,2019-01-12 23:59:28+00:00,"viotcz ordered off amazon, i believe grocery stores carry","[18.608664662704964, 29.863213429448056, -10.25663192896809]"
143,2019-01-13 23:59:59+00:00,carissajanuary let know i help. i an amazon account.,"[19.194674532815416, -0.03748935500078732, -11.564109359334836]"
145,2019-01-13 23:59:59+00:00,eighth grade on amazon prime,"[30.706239474626255, 10.567540386770489, -10.866823796859201]"
146,2019-01-13 23:59:58+00:00,"salvage anthology ebook print, choose. now can read entire book set one easy volume. ride the colonel today discover they find. via amazon scifi technothr via","[51.5608816072993, 49.61743351164223, 14.36939017041793]"
147,2019-01-13 23:59:52+00:00,amazon’s best diffusers,"[0.2746363268901131, -2.3983391720181433, -12.455820854295872]"
148,2019-01-13 23:59:51+00:00,"diddy added radio last week hip hop artist paul brown his blazin debut single ""what you like."" available itunes, amazon &amp; spotify.","[102.13594714730353, 72.68489449908684, -8.676974623634564]"
149,2019-01-13 23:59:50+00:00,go check product amazon,"[8.393136123272239, 17.725593516931642, -11.247533629053969]"
150,2019-01-13 23:59:48+00:00,mcbazacophd kidsdocrick omg love where you get these? amazon?,"[-0.7107142864479912, -4.976863175421329, -12.376820911854203]"
151,2019-01-13 23:59:44+00:00,everyone do something help families affected californiafires tw help providing direct aid amazon list created indivisible cd,"[54.22885033030044, 32.87851536587698, 0.042716065599876174]"
152,2019-01-13 23:59:41+00:00,"sorry trying sell anything, this a great book. ""the term limit revolution"" scott murphy via amazon drainthedeepstateswamp using termlimits there would no speakerpelosi senschumer we term limits","[58.68813268051269, 39.04094032135056, -12.135980625209342]"
153,2019-01-13 23:59:40+00:00,nice trouble kakicchysmusic mp downloads amazon prime,"[23.702568699641777, 11.826572968279443, -14.193928969169]"
154,2019-01-14 23:59:59+00:00,amazon,"[10.02289642961401, -0.13279535070444526, -11.781365806748079]"
156,2019-01-14 23:59:57+00:00,"nefarious ends. in response his banishment, dane his male amazons elysium invaded united states battled earth justice league, the freedom fighters atlantis army. in battle, dane also summoned greek titans myth hyperion phoebus","[53.514397409593066, 86.52730959396521, 2.7941174641159563]"
