,Time,Text,Sentiment
91,2019-01-08 23:54:51+00:00,"what be done tangibly boost diversity wall street? start using business metrics measure progress, says goldmansachs chief strategy officer stephanie cohen. watch bvpredicts","[47.75884125584262, 69.8654852333699, -7.888802313338047]"
92,2019-01-08 23:54:13+00:00,goldman sachs these stocks going get crushed,"[8.832444359077993, 0.3045602386070665, -0.1266176438857869]"
93,2019-01-08 23:50:55+00:00,"“the diversity imperative needs be part the business,” says cohen, asked how improve diversity business on wall street. she says goldmansachs set goal make intern class / women men bvpredicts","[68.07999654533931, 72.87767985378032, -6.167328271098214]"
94,2019-01-08 23:49:31+00:00,"diversity to a business imperative, says goldmansachs’ stephanie cohen. bvpredicts","[5.573290477765597, 16.310863350946512, -10.196983300626655]"
95,2019-01-08 23:49:11+00:00,"nearly every stock dow flashed green today, why was goldman sachs still red?","[36.03995724938918, 39.08467167107814, -9.550521648678256]"
96,2019-01-08 23:47:24+00:00,"stephanie cohen, chief strategy officer goldmansachs says future give consumers opportunity “live invest own values.” bvpredicts","[40.808233859709624, 20.087848444091776, -10.855909637056598]"
97,2019-01-08 23:43:03+00:00,u.s. bank goldmansachs bought . billion bonds finance dictatorship nicolasmaduro goldmanfinancesthedictatorship,"[21.370429824534536, 20.135495446746113, -10.564368380684527]"
98,2019-01-08 23:40:06+00:00,"i capitalism goldman sachs nothing than drug dealer, dealing people dreams insane investment returns.","[21.054219858021956, 21.67685583726957, -11.358347570985586]"
99,2019-01-09 23:57:53+00:00,"hey, check out [the dow gained points today, why was goldman sachs still red?] via quarry app","[13.761593820978636, 36.162149384081445, -10.210949017430323]"
101,2019-01-09 23:56:39+00:00,palm joined goldman sachs . it somewhat unusual move a time successful attorneys considered role an house lawyer be a backwater posting.,"[32.0684930390638, 50.92511747166398, -1.2155273545282341]"
102,2019-01-09 23:56:07+00:00,"for two decades, greg palm waged one battle another goldman sachs. now, , he’s ready step aside its top lawyer.","[18.130345547079575, 45.29139358094481, -9.487683121244586]"
103,2019-01-09 23:52:43+00:00,cgasparino goldmansachs worked drexel burnham lambert years old got week christmas bonus thanksmikemilken,"[15.425822317513234, 25.487801425532524, -9.452036476404018]"
104,2019-01-09 23:50:08+00:00,goldman sachs lowers target japan stock indexes,"[31.07458918930892, 30.97660706737438, -10.298535622693961]"
105,2019-01-09 23:50:05+00:00,greg palm retiring goldman sachs.,"[20.257398249188974, 10.524715513985335, -11.733620147983288]"
106,2019-01-09 23:45:10+00:00,goldman sachs lowers target japan stock indexes,"[31.07458918930892, 30.97660706737438, -10.298535622693961]"
107,2019-01-09 23:43:05+00:00,goldman sachs lowers target japan stock indexes,"[31.07458918930892, 30.97660706737438, -10.298535622693961]"
108,2019-01-09 23:41:49+00:00,goldman sachs lowers target japan stock indexes,"[31.07458918930892, 30.97660706737438, -10.298535622693961]"
109,2019-01-09 23:41:20+00:00,"helencg hendopolis dailymailuk by turning corner mean selling the country an elite like war criminal blair, goldman sachs, morgan branson their eu chums.","[64.07482996439596, 44.67768855792259, 1.7338482593642368]"
110,2019-01-10 23:55:42+00:00,"newspaper industry right winger politics smearing supressing left. if re getting politically involved left politics s easy enough be led throw name rothschild with goldman sachs, rupert murdoch, barclay brothers, lord rothermere etc,","[78.67286950733427, 83.5400857408832, -7.542274603014093]"
112,2019-01-10 23:53:02+00:00,"charles elkan goldmansachs ""data itself cost, a benefit. even it’s cheap store data, it’s still free. one the reasons machine learning so important that it’s a way gain benefit data."" ml ai via yaleinsights","[91.94244867624242, 84.19113186059668, -8.3592586501547]"
113,2019-01-10 23:52:46+00:00,goldman sachs could liable b malaysian scandal via nypost,"[18.694579568160723, -1.7714160689801308, -11.280991332197928]"
114,2019-01-10 23:45:36+00:00,"""the free market goldman sachs not free market the lemonade stand."" darrenjbeattie","[22.691259559383706, 33.555157791790094, -11.04927211687935]"
115,2019-01-10 23:45:02+00:00,. goldmansachs making progress their pledge fund female entrepreneurs. the bank made than m investments women led companies business,"[39.545058121441976, 61.3901265118662, -9.133687032262927]"
116,2019-01-10 23:35:05+00:00,a brief history goldman sachs,"[10.79559027427896, 9.275092637533048, -11.277704730654648]"
